"category","name","imo","mmsi","sanctioned","sanctions","note"
"shadow_fleet","LIGOVSKY PROSPECT","","273251810","true","Canada, EU, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/184"
"shadow_fleet","KARELIYA","","273257910","true","Canada, EU, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/185"
"shadow_fleet","OTLA","","620999925","true","Canada, EU, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/216"
"shadow_fleet","AVRIL","","632001087","true","Canada, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/217"
"shadow_fleet","LIPETSK","","273255820","true","Canada, EU, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/223"
"shadow_fleet","ADONIA","","306124000","true","Canada, EU, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/447"
"shadow_fleet","LYRA","","352001732","true","Canada, EU, New Zealand, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/451"
"shadow_fleet","MITZEL","","620999869","true","Canada, EU, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/454"
"shadow_fleet","SKYLYN","","750064000","true","Canada, EU, New Zealand, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/464"
"shadow_fleet","VESNA","","312242000","true","Canada, EU, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/471"
"shadow_fleet","MERU","","620999801","true","Canada, EU, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/479"
"shadow_fleet","MAKALU","","629009658","true","Canada, EU, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/480"
"shadow_fleet","LADOGA","","636013273","true","Canada, EU, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/156"
"shadow_fleet","NEVSKIY PROSPECT","","273258030","true","Canada, EU, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/163"
"shadow_fleet","LITEYNY PROSPECT","","273254130","true","Canada, EU, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/164"
"shadow_fleet","KAZAN","","273259910","true","Canada, EU, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/183"
"shadow_fleet","ANTILA","","632001112","true","Canada, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/44"
"shadow_fleet","SORION","","632001085","true","Canada, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/45"
"shadow_fleet","MILEY","","632001103","true","Canada, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/47"
"shadow_fleet","SAHARA","","632001100","true","Canada, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/48"
"shadow_fleet","KRUGER","","632001090","true","Canada, EU, Switzerland, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/49"
"shadow_fleet","SARA II","","636022546","true","Canada, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/51"
"shadow_fleet","SENSUS","","632001119","true","Canada, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/52"
"shadow_fleet","BETTLE","","632001115","true","Canada, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/53"
"shadow_fleet","CARCHARODON","","629009570","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1007"
"shadow_fleet","PERIDOT","","577389000","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1008"
"shadow_fleet","LAURYN","","632001102","true","Canada, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/38"
"shadow_fleet","APUS","","669611000","true","Canada, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/39"
"shadow_fleet","AUGA","","632001084","true","Canada, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/40"
"shadow_fleet","HS GLORY","","632001118","true","Canada, UK, USA","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/43"
"shadow_fleet","MAISHA","","610000032","true","Australia, Canada, EU, New Zealand, Switzerland, UK","https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/931"
