name,imo,mmsi,detail_url,source
KOEN,9199127,352001461,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/566,GUR War & Sanctions – Marine vessels
TRUGEN,9200861,616999482,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1181,GUR War & Sanctions – Marine vessels
VORAS,9203265,613916701,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/396,GUR War & Sanctions – Marine vessels
LEXI,9203277,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/819,GUR War & Sanctions – Marine vessels
SEATURBO,9204764,620834000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1177,GUR War & Sanctions – Marine vessels
VIKRAM,9205067,613429702,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/547,GUR War & Sanctions – Marine vessels
RANGLER,9206671,613670000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/542,GUR War & Sanctions – Marine vessels
VERNAL,9207027,667002362,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/523,GUR War & Sanctions – Marine vessels
STELLAR BEVERLY,9208069,372839000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/527,GUR War & Sanctions – Marine vessels
SKY RIDER,9208124,511100837,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/859,GUR War & Sanctions – Marine vessels
HONG LU,9208215,306253000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/375,GUR War & Sanctions – Marine vessels
TEMIRO,9209972,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/802,GUR War & Sanctions – Marine vessels
ELPIS,9212400,620999876,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/831,GUR War & Sanctions – Marine vessels
TELESTO,9213296,314001023,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/567,GUR War & Sanctions – Marine vessels
ALBEDO,9213313,314001114,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/591,GUR War & Sanctions – Marine vessels
ATLANTIS MZ,9218181,620800003,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/860,GUR War & Sanctions – Marine vessels
BENTLEY,9220914,518999247,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/936,GUR War & Sanctions – Marine vessels
BERNICE,9220926,311001527,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/928,GUR War & Sanctions – Marine vessels
MANTA,9220938,629009390,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/574,GUR War & Sanctions – Marine vessels
GLOBAL BEAUTY,9221267,352004530,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1113,GUR War & Sanctions – Marine vessels
ELZA,9221671,306720000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/390,GUR War & Sanctions – Marine vessels
CHEETAH II,9222560,610000051,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/782,GUR War & Sanctions – Marine vessels
NICHOLA,9224271,750307000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/395,GUR War & Sanctions – Marine vessels
NEER 1,9224283,629009466,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/481,GUR War & Sanctions – Marine vessels
OCTANS,9224295,668116213,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/393,GUR War & Sanctions – Marine vessels
CAROLINE BEZENGI,9224439,613271605,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1212,GUR War & Sanctions – Marine vessels
FIRN,9224441,352003221,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/426,GUR War & Sanctions – Marine vessels
OLAF 1,9224465,620999796,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/467,GUR War & Sanctions – Marine vessels
OXIS,9224805,613612000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/717,GUR War & Sanctions – Marine vessels
ARLAN,9227443,667002314,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/551,GUR War & Sanctions – Marine vessels
NOBEL M,9228784,314001017,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/938,GUR War & Sanctions – Marine vessels
ODUNE,9229374,667002337,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/475,GUR War & Sanctions – Marine vessels
CERES I,9229439,668116233,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/631,GUR War & Sanctions – Marine vessels
SKADI,9230971,352421000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1095,GUR War & Sanctions – Marine vessels
XANTHOS EOS,9231212,306761000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/704,GUR War & Sanctions – Marine vessels
TREND,9231509,632001140,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/525,GUR War & Sanctions – Marine vessels
ADALYNN,9231767,305091000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/930,GUR War & Sanctions – Marine vessels
PING SHUN,9231901,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/837,GUR War & Sanctions – Marine vessels
AILANA,9232888,667002025,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/582,GUR War & Sanctions – Marine vessels
MAISHA,9232929,610000032,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/931,GUR War & Sanctions – Marine vessels
NARCISSUS,9232931,352002661,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/532,GUR War & Sanctions – Marine vessels
VESNA,9233349,312242000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/471,GUR War & Sanctions – Marine vessels
MITZEL,9233741,620999869,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/454,GUR War & Sanctions – Marine vessels
AULIS,9233765,306900000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/656,GUR War & Sanctions – Marine vessels
OCEAN II,9233777,613661401,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1201,GUR War & Sanctions – Marine vessels
STABILLIS I,9234501,610000050,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/814,GUR War & Sanctions – Marine vessels
KOALA,9234642,305262000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/524,GUR War & Sanctions – Marine vessels
ADELINE G,9234666,352002297,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1251,GUR War & Sanctions – Marine vessels
COATLICUE,9235000,621819083,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/594,GUR War & Sanctions – Marine vessels
TAVARIS CASSEL,9235244,307080000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1089,GUR War & Sanctions – Marine vessels
AMBER 6,9235713,550167020,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/495,GUR War & Sanctions – Marine vessels
FUGA BLUEMARINE,9235725,629009500,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/449,GUR War & Sanctions – Marine vessels
YURI,9235737,306408000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/762,GUR War & Sanctions – Marine vessels
KAIROS,9236004,629009598,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/483,GUR War & Sanctions – Marine vessels
VISION,9236016,305099000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1148,GUR War & Sanctions – Marine vessels
FENGHUANG,9236248,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/836,GUR War & Sanctions – Marine vessels
BLUE,9236353,550071140,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/565,GUR War & Sanctions – Marine vessels
ONYX,9236640,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/713,GUR War & Sanctions – Marine vessels
PRIMORYE,9236743,273210220,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1204,GUR War & Sanctions – Marine vessels
MACKEREL,9236755,629009376,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/939,GUR War & Sanctions – Marine vessels
ROBERTA,9237008,636023554,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1261,GUR War & Sanctions – Marine vessels
SOMA,9237228,307060000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/546,GUR War & Sanctions – Marine vessels
HANSON,9237412,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/516,GUR War & Sanctions – Marine vessels
STAR FOREST,9237632,477949100,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/774,GUR War & Sanctions – Marine vessels
TIMA,9237797,750099000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/826,GUR War & Sanctions – Marine vessels
FREYA,9238052,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/662,GUR War & Sanctions – Marine vessels
MACHO QUEEN,9238868,477722100,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1264,GUR War & Sanctions – Marine vessels
CARINA,9240512,987109000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/380,GUR War & Sanctions – Marine vessels
LONGEVITY 7,9240885,511101781,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/861,GUR War & Sanctions – Marine vessels
MARIGOLD,9242118,306801000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/394,GUR War & Sanctions – Marine vessels
NYANTARA,9242120,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1106,GUR War & Sanctions – Marine vessels
ADONIA,9242223,306124000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/447,GUR War & Sanctions – Marine vessels
AMAK,9244635,629009410,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/827,GUR War & Sanctions – Marine vessels
MARIEL,9247376,667002425,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1144,GUR War & Sanctions – Marine vessels
TYCHE I,9247390,352002704,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/389,GUR War & Sanctions – Marine vessels
INDRI,9247429,667002491,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1146,GUR War & Sanctions – Marine vessels
REGAL I,9247431,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/562,GUR War & Sanctions – Marine vessels
QUARTANUS,9247443,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/895,GUR War & Sanctions – Marine vessels
BREEZ,9247778,620800101,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1167,GUR War & Sanctions – Marine vessels
TURACO,9247780,620999926,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/564,GUR War & Sanctions – Marine vessels
CECILA,9247792,613412600,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/512,GUR War & Sanctions – Marine vessels
SAPNA,9247883,667002270,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/453,GUR War & Sanctions – Marine vessels
URANUS,9248485,636014160,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1164,GUR War & Sanctions – Marine vessels
IRON WAVE,9248796,511101765,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/971,GUR War & Sanctions – Marine vessels
ASCENDANT,9248801,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/636,GUR War & Sanctions – Marine vessels
SILVERA,9248849,667002338,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/535,GUR War & Sanctions – Marine vessels
HS GLORY,9249087,632001118,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/43,GUR War & Sanctions – Marine vessels
SAKHALIN,9249128,273259630,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/162,GUR War & Sanctions – Marine vessels
PEACE,9249130,610000053,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/583,GUR War & Sanctions – Marine vessels
IZOLA,9249312,667001624,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/529,GUR War & Sanctions – Marine vessels
IZUMO,9249324,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/572,GUR War & Sanctions – Marine vessels
ROZMARINE,9250531,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/520,GUR War & Sanctions – Marine vessels
INVICTA,9250543,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/581,GUR War & Sanctions – Marine vessels
ORYX,9250737,314001139,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/917,GUR War & Sanctions – Marine vessels
MIKATI,9250892,667002308,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/445,GUR War & Sanctions – Marine vessels
RANI,9250907,632001134,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1105,GUR War & Sanctions – Marine vessels
CRIUS,9251274,352002070,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/595,GUR War & Sanctions – Marine vessels
BOLTARIS,9251456,610000052,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/901,GUR War & Sanctions – Marine vessels
SEABASS,9251640,620847000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1173,GUR War & Sanctions – Marine vessels
CROSS OCEAN,9251810,306404000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/378,GUR War & Sanctions – Marine vessels
SPRITE,9252333,304803000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/779,GUR War & Sanctions – Marine vessels
SEAL,9252400,629009388,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/942,GUR War & Sanctions – Marine vessels
BRIONT,9252955,352002147,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/592,GUR War & Sanctions – Marine vessels
GRACEP,9252967,314105000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/949,GUR War & Sanctions – Marine vessels
REUS,9253076,667002335,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/508,GUR War & Sanctions – Marine vessels
SATNA,9253234,655883000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/896,GUR War & Sanctions – Marine vessels
MATARI,9253313,667001281,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1031,GUR War & Sanctions – Marine vessels
ROSALIN,9253325,668116325,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/444,GUR War & Sanctions – Marine vessels
DESTAMAR,9253894,550071160,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/482,GUR War & Sanctions – Marine vessels
JAMES II,9253909,511100897,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1034,GUR War & Sanctions – Marine vessels
CAMILLA,9254850,636020658,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1256,GUR War & Sanctions – Marine vessels
ADENA,9254862,636020606,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1252,GUR War & Sanctions – Marine vessels
WHITE CONDOR I,9255244,307026000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1010,GUR War & Sanctions – Marine vessels
PIONEER,9255282,273254770,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/944,GUR War & Sanctions – Marine vessels
SEAHAKER,9255488,620999405,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1176,GUR War & Sanctions – Marine vessels
SERENA,9255660,629009448,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/553,GUR War & Sanctions – Marine vessels
LEBRE,9255672,667001242,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/602,GUR War & Sanctions – Marine vessels
GOLDEN EAGLE,9255684,629009590,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1058,GUR War & Sanctions – Marine vessels
SEA MARINE 1,9255830,574322000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/781,GUR War & Sanctions – Marine vessels
SEGINUS,9256028,352004634,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1149,GUR War & Sanctions – Marine vessels
NEVSKIY PROSPECT,9256054,273258030,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/163,GUR War & Sanctions – Marine vessels
LIGOVSKY PROSPECT,9256066,273251810,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/184,GUR War & Sanctions – Marine vessels
LITEYNY PROSPECT,9256078,273254130,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/164,GUR War & Sanctions – Marine vessels
DELFINA,9256248,636022667,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1257,GUR War & Sanctions – Marine vessels
ELMO,9256913,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/758,GUR War & Sanctions – Marine vessels
KONGM,9256975,570322000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1262,GUR War & Sanctions – Marine vessels
STAR TWINKLE 6,9256987,352003519,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1096,GUR War & Sanctions – Marine vessels
BOSCA,9257022,621819068,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/432,GUR War & Sanctions – Marine vessels
MIN HANG,9257137,518999094,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/576,GUR War & Sanctions – Marine vessels
NESO,9257149,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/823,GUR War & Sanctions – Marine vessels
FURIA,9257802,667001248,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/568,GUR War & Sanctions – Marine vessels
TOREX,9257814,577008000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/509,GUR War & Sanctions – Marine vessels
AMELL,9257993,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/705,GUR War & Sanctions – Marine vessels
KAZAN,9258002,273259910,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/183,GUR War & Sanctions – Marine vessels
NOSTOS,9258014,636019667,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/945,GUR War & Sanctions – Marine vessels
EDERRA,9258026,613914210,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/801,GUR War & Sanctions – Marine vessels
AKAR WEST,9258167,629009536,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/763,GUR War & Sanctions – Marine vessels
LAUREN II,9258521,,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/694,GUR War & Sanctions – Marine vessels
NOCTIS,9258868,620999845,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/456,GUR War & Sanctions – Marine vessels
CARCHARODON,9258882,629009570,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/1007,GUR War & Sanctions – Marine vessels
DAKSHA,9259185,620999378,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/278,GUR War & Sanctions – Marine vessels
SKYLYN,9259197,750064000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/464,GUR War & Sanctions – Marine vessels
DAVINA,9259367,306531000,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/376,GUR War & Sanctions – Marine vessels
LAURYN,9259599,632001102,https://war-sanctions.gur.gov.ua/en/transport/shadow-fleet/38,GUR War & Sanctions – Marine vessels
